BOBCAT_ID,NAME,CAPTURE_DATE,INITIAL_OR_RECAPTURE,CAPTURE_LOCATION_GENERAL,CAPTURE_LOCATION_LAT,CAPTURE_LOCATION_LONG,SEX,AGE_ESTIMATE_YEARS,REPRODUCTIVE_CONDITION,ESTIMATED_WEIGHT_LB,ACTUAL_WEIGHT_LB,COLLARED,BLOOD,DNA_SWAB,FECAL,HAIR,ECTOPARASITES,NOTES,RADIO_FREQUENCY,COLLAR_ID,DATE_COLLAR_REMOVED,REASON_FOR_COLLAR_REMOVAL,MORTALITY_DATE,MORTALITY_LOCATION,MORTALITY_LAT,MORTALITY_LONG,CAUSE_OF_DEATH,RODENTICIDE_SAMPLING,NOTES
24,Sadie,1/11/2022,Initial,Roni;s house El Morago south of Ironwood Hills,32.248075,-111.048163,F,3 to 5,ET,18,14.58,Y,N,Y,Y,Y,N,Worm in poop,151.45,725535A,9/29/2022,Mortality,9/28/2022,Las Orroyos de Oeste subdivision,32.22147,-111.013,Shot illegally,Y,Right side entry wound with exit through left shoulder and leg. Also clipped a lung. See necropsy notes for details
25,na,1/11/2022,Initial,C. Sullivan house on Mountainside w. of Anklam,32.231079,-111.052836,u,yoy Kitten,,,,n,N,,,,,,,,,,,,,,,,
26,na,1/11/2022,Initial,Via Roma - Gate's Pass,32.236213,-111.071511,U,yoy Kitten,,,,n,N,,,,,,,,,,,,,,,,
27,Wyatt,1/12/2022,Initial,Karen Dotson's ,32.26222164,-111.0465297,m,>5,TD,25,25.2,Y,y,y,n,y,n,,151.48,725539A,6/2/2023,Breakaway,,,,,,,
27,Teddy,12/4/2023,Recapture,Jennifer Turners house,32.255842,-111.048373,m,5+,td,24,24.98,y,y,y,y,y,n,,151.32,719986c,5/3/2024,Breakaway,,,,,,,
28,Avery,1/14/2022,Initial,Kerry's old house,32.287843,-111.061299,F,3 TO 5,ET,20,23.2,Y,Y,Y,Y,Y,N,,151.42,725543A,6/3/2023,Breakaway,,,,,,,
29,Sylvia,1/16/2022,Initial,Judy Constantine's 5061 del desierto,32.243519,-111.072696,F,1.5,NL,13,11.4,Y,y,y,y,y,n,,151.49,725540A,6/2/2023,Breakaway,,,,,,,
30,Lisa,1/17/2021,Initial,Cathrines site south of Sweetwater Preserve,32.267467,-111.080467,F,2 TO 3,NL,15,14.4,Y,Y,y,y,y,n,,151.37,719991B,6/2/2023,Breakaway,,,,,,,
31,Noah,1/19/2021,Initial,Trail's End Kristin,32.243816,-111.06689,M,1.5,TD,15,15.4,N,Y,Y,Y,Y,n,,,,,,,,,,,,
32,NA,1/21/2022,Initial,End of Camino del Desierto,32.246497,-111.07899,M,,,> 20,,n,N,Y,Y,N,,,,,,,,,,,,,
33,NA,1/22/2022,Initial,Internationl Wildlife Museum Set # 2,32.236107,-111.066641,U,,,10,10.1,n,N,Y,n,n,,,,,,,,,,,,,
34,Danielle,1/23/2022,Initial,"3830 West Corte Castellon, Karen Dotson's house",32.26222164,-111.0465297,F,2 TO 3,NL,16,12.4,Y,Y,Y,Y,Y,N,,151.32,719986B,11/18/2022,Changed,,,,,,,BC Hal's old collar
34,Danielle,11/18/2022,Re-capture,Jennifer Turners house,32.256064,-111.047637,F,,P,16,13.3,y,y,y,y,y,n,,151.38,71992C,1/24/2024,Breakaway,,,,,,,
35,NA,1/23/2022,Initial,Mary Nichols Wash,32.247693,-111.065018,U,,,,,n,N,,N,,,,,,,,,,,,,,Mass nsed spleen/liver could be kitten
36,NA,3/11/2022,Initial,Kristen and Shannan,32.243816,-111.06689,m,Adult,,,,no,n,N,N,Y,,Released without handling,,,,,,,,,,,
37,BobbiJo,3/11/2022,Initial,Kathy Mclean,32.2237055,-111.0357416,f,Adult,NL,18,,YES,Y,Y,N,Y,,,151.35,719989B,6/1/2023,Breakaway,,,,,,,
38,NA,3/13/2022,Initial,,32.246486,-111.0788,m,Adult,TD,16,16.2,no,N,y,y,y,,Released without handling,,,,,,,,,,,
39,na,3/15/2022,Initial,Jerry Rowlette's house,32.1456,-111.0594,m,Adult,,,,no,n,y,n,y,,Released without handling,,,,,,,,,,,
40,Braeden,3/18/2022,Initial,Via Roma - Gate's Pass,32.23626,-111.071494,m,3 TO 5,td,20,?,yes,Y,Y,Y,?,,,151.36,719990B,1/19/2023,Changed,,,,,,,
40,Braeden,1/19/2023,Re-capture,Wash @ Fe and Nancy's,32.2533,-111.0187,m,3 to 5,td,25,27.15,yes,yes,yes,yes,yes,no,,151.4,725541B,3/8/2023,Collar malfunction,,,,,,,
41,n,11/9/2022,Initial,Doris Evans,32.2814416,-111.0723861,u,b,,,,no,n,n,n,n,,Released without handling,,,2/4/2024,Breakaway,,,,,,,
42,Beverly,11/9/2022,Initial,Roni's,32.24774,-111.047811,f,adult,nl,16,16,yes,y,y,y,y,n,"COVID tested, had kittens this year",150.54,732957A,1/24/2024,Breakaway,,,,,,,
43,Cynthia,11/11/2022,Initial,Jennifer Turners house,32.255804,-111.048413,f, 3 To 5,nl,16,15.72,yes,y ?,y,N,y,n,"COVID tested, had kittens this year",151.39,733054A,,,,,,,,,
44,Luna,11/12/2022,Initial,Lucy Sampogna's house,32.306819,-111.064728,f,3,L,15,14.28,yes,y ?,y,N,y,n,"COVID tested, had kittens this year. Upper right canine missing.. Lower right canine very crooked",150.5,732955A,3/7/2024,Breakaway,,,,,,,
45,EmmaClaire,11/12/2022,Initail,Fe and Nancy;s office,32.253709,-111.01681,f,1 plus,nl,14,9.44,yes,y ?,y,N,y,n,COVID tested,150.58,733019A,12/11/2023,Recapture,,,,,,,
45,EmmaClaire,12/11/2023,Re-capture,Pam Parrish residence,32.256003,-111.028728,f,2 plus,nl,15,13.94,yes,n,n,y,n,n,,151.31,719985c,,Mortality,2/11/2024,Goret Road,32.260139,-111.02963,Unknown,,
46,Cassidy,11/15/2022,Initial,SC River south of El Cerro,32.292102,-111.037803,f,5 plus,nl,18,14.9,yes,y,y,y,y,n,Covid tested,151.33,719987B,12/19/2022,Mortality,12/19/2022,,32.280998,-111.025097,Vehicle strike?,,
47,NA,11/18/2022,Initial,SC River south of El Cerro,32.293332,-111.038039,m,8 months,ND,12,8.44,no,y,y,N,y,n,COVID tested,,,,,,,,,,,
48,Tippy,11/21/2022,Initial,John O' Hanlon's,32.285523,-111.051808,m,1 plus,TD (one small,16,13.3,yes,y,y,y,y,n,COVID tested,150.56,733018A,6/29/2023,Breakaway,,,,,,,
49,James,11/21/2022,Initial,John O' Hanlon's,32.285523,-111.051808,m,1 plus,ND,17,12.75,no,y,y,y,y,n,"COVID tested, captured with 48.",,,,,,,,,,,
50,Daphne,1/21/2023,Initial,Wildcat Pass -Starr Pass,32.197544,-111.0374,f,3,NL,15,,yes,y,y,y,y,n,COVID TESTED,151.33,719987B,1/24/2024,Breakaway,,,,,,,Very lightly drugged - no weight
51,Carrie,1/23/2021,Initial,Fe and Nancy;s office,32.254514,-110.017951,f,3 to 5,NL,18,,yes,y,Y,N,n,n,,151.45,725535B,1/23/2024,Breakaway,,,,,,,Roused from the drug. No weight or buccal swab
52,Michele,1/28/2023,Initial,SC River north of Sunset,32.308547,-111.051502,f,3,nl,18,17.2,yes,y,y ?,,y,n,COVID Tested,151.34,719988B,,Roadkill,2/28/2023,Silverbell road near PACC,32.275957,-111.030368,,,Definitely raised fall kittens
53,Rocky,1/28/2023,Initial,Agua Dulce - Charlie Schulz,32.272753,-111.059857,m,3 to 5,td ,25,23.14,yes,y,y,y,y,n,COVID tested,150.52,732956A,3/17/2024,Breakaway,,,,,,,
55,Charlie,12/5/2023,Initial,SC River north of Sunset,32.319277,-111.061183,m,3 to 4,td,16,19.32,yes,y,y,y,n,n,,151.4,734073a,5/3/2024,Breakaway,,,,,,,
56,Nala,12/7/2023,Initial,SC River north of Sunset,32.319084,-111.061,f,3 to 5,bt,15,15.6,yes,y,y,y,n,n,,151.34,719988b,1/31/2024,Breakaway,,,,,,,
57,Karen,12/8/2023,Initial,SC River north of Sunset,32.319163,-111.0616,f,2-Jan,nl,15,11.6,yes,y,y,y,n,n,,150.6,736277,,collar deployed breakaway in malfunction,12/11/2023,Santa Cruz River north,32.312466,-111.054117,,,
